pid,window_start_t,window_end_t,n_events,mean_dt,std_dt,max_dt,frac_success,any_page_execute,any_exec_ext,any_suspicious_dir,any_desired_access_execute,mean_offset,offset_monotonic,op_frac_CreateFile,op_frac_CreateFileMapping,op_frac_ReadFile,op_frac_WriteFile,op_frac_Thread Create,op_frac_Process Create,op_frac_LoadImage,op_frac_VirtualAlloc,op_frac_WriteProcessMemory,op_frac_CreateRemoteThread,op_frac_QueryBasicInformationFile,op_frac_QueryStandardInformationFile,op_frac_CloseFile,op_frac_FileSystemControl,op_frac_Other,label,anomaly_score,predicted_attack
9928,49879.5685071,49879.571443,20,0.0001467950001824,0.0002002451441041,0.0006941000028746,0.85,1,1,1,1,178858.66666666666,1,0.1,0.1,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.4,1,0.7899220906982777,1
9928,49879.5696527,49879.5715551,20,9.801500018511434e-05,0.0001508332414685,0.0004776000059791,0.75,1,1,1,0,178858.66666666666,1,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.65,1,0.7366274285320342,1
9928,49879.5705888,49879.5716155,20,5.236999968474265e-05,9.364232633814095e-05,0.0004249999983585,0.75,0,1,1,0,291328.0,1,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.85,1,0.650435113536381,1
9928,49879.5712265,49879.5717777,20,2.9325000286917203e-05,3.239980256115381e-05,0.0001449999981559,0.7,0,1,1,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.95,1,0.5951308243500499,1
9928,49879.5715005,49879.5730675,20,8.122500003082678e-05,0.0001223213445913,0.0003613000008044,0.75,0,1,1,0,242688.0,0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.75,1,0.7126399933613928,1
9928,49879.5715658,49879.5743589,20,0.000140189999729,0.0001431980145015,0.000377299998945,0.85,0,1,1,0,182656.0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.5,1,0.7260807021372321,1
9928,49879.5716239,49879.5763152,20,0.0002349850001337,0.000184588920268,0.0006625000023632,0.9,0,1,1,0,162264.61538461538,0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.25,1,0.7491547770244975,1
9928,49879.5719998,49879.5779417,20,0.0003081999999267,0.0001619163615449,0.0006625000023632,1.0,0,1,1,0,167731.2,0,0.05,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,1,0.7544250632359126,1
9928,49879.5731867,49879.5782009,20,0.0002566700000897,0.0001913141778419,0.0006625000023632,1.0,0,1,1,0,148992.0,0,0.1,0.0,0.6,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,1,0.758481539433668,1
9928,49879.5750214,49879.5787184,20,0.0002179750001232,0.0002038088775041,0.0006625000023632,0.95,0,1,1,0,105473.3,0,0.15,0.0,0.5,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,1,0.7693009697374937,1
9928,49879.576453,49879.5793177,20,0.0001501250000728,0.0001466878663976,0.0005478999955812,0.95,0,1,1,0,67756.83333333333,0,0.25,0.0,0.25,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.25,1,0.7712536228109605,1
9928,49879.5779839,49879.5882719,20,0.000516509999943,0.001918108161893,0.0086605000033159,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.25,1,0.7174468161240556,1
9928,49879.5784811,49879.5888739,20,0.000533649999852,0.0019145418312422,0.0086605000033159,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7240868954102995,1
9928,49879.5788548,49879.5895658,20,0.0005423700000392,0.0019121536460907,0.0086605000033159,0.95,0,0,0,0,2.6,0,0.3,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.15,1,0.7184183026654788,1
9928,49879.5793394,49879.5899288,20,0.000530554999932,0.0019148738033165,0.0086605000033159,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.15,1,0.7330191291733551,1
9928,49879.5885743,49879.5903226,20,0.0001025350000418,7.170170967811918e-05,0.0003024000034201,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7131260178548183,1
9928,49879.5890485,49879.5922095,20,0.0001667799999268,0.0002896823335683,0.0013693000000785,0.95,0,0,0,0,2.6,0,0.3,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.15,1,0.7164766432825989,1
9928,49879.5895894,49879.5931679,20,0.0001801049998903,0.0003020501479914,0.0013693000000785,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.15,1,0.7312853553267632,1
9928,49879.5901021,49879.5934998,20,0.0001785500000551,0.0003028159650819,0.0013693000000785,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7199400650527006,1
9928,49879.5916919,49879.5939508,20,0.0001814100000046,0.0003015225988416,0.0013693000000785,0.95,0,0,0,0,2.6,0,0.3,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.15,1,0.7164766432825989,1
9928,49879.5922248,49879.5945452,20,0.0001167850001365,0.0001206659596599,0.0004136999996262,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.15,1,0.7275554466340095,1
9928,49879.5933164,49879.5948523,20,8.421999991696794e-05,6.880302695560523e-05,0.0003120000037597,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7131260178548183,1
9928,49879.5936053,49879.5952712,20,8.856999993440695e-05,6.65814832096249e-05,0.0003120000037597,0.95,0,0,0,0,2.6,0,0.3,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.15,1,0.7096953764792985,1
9928,49879.5939748,49879.5955224,20,7.857999989937525e-05,6.642150587806208e-05,0.0003120000037597,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.15,1,0.7243639278799495,1
9928,49879.5946727,49879.5957713,20,6.130500005383511e-05,3.737082224252619e-05,0.0001274999958695,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7128848130037929,1
9928,49879.5949531,49879.5961665,20,6.571000012627337e-05,3.86607494950697e-05,0.0001221999991685,0.95,0,0,0,0,2.6,0,0.3,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.15,1,0.7096953764792985,1
9928,49879.5952826,49879.5964261,20,5.7744999867281874e-05,3.52885163268614e-05,0.0001221999991685,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.15,1,0.7243639278799495,1
9928,49879.5956446,49879.5966877,20,5.8265000188839625e-05,3.9025555298144543e-05,0.0001316000052611,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7126436897369176,1
9928,49879.595864,49879.5971966,20,7.1264999860432e-05,4.346610623152046e-05,0.0001537999996799,0.95,0,0,0,0,2.6,0,0.3,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.15,1,0.7096953764792985,1
9928,49879.5961834,49879.5975117,20,6.725999992340803e-05,4.548914783617885e-05,0.0001537999996799,0.95,0,0,0,0,3.25,0,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.15,1,0.7243639278799495,1
9928,49879.5965577,49879.5978442,20,7.090500002959743e-05,4.9932243651798575e-05,0.000165299999935,0.9,0,0,0,0,3.7142857142857144,0,0.25,0.0,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.1,1,0.7133673043175981,1
